DATE,CLVMNACSCAB1GQNL
1995-01-01,108000.2
1995-04-01,110000.2
1995-07-01,110766.2
1995-10-01,112766.2
1996-01-01,114766.2
1996-04-01,116036.1
1996-07-01,117656.9
1996-10-01,118489.6
1997-01-01,119776.2
1997-04-01,121038.3
1997-07-01,122792.7
1997-10-01,124361.8
1998-01-01,126044.1
1998-04-01,126942.8
1998-07-01,128034.5
1998-10-01,129205.7
1999-01-01,131352.6
1999-04-01,132814.5
1999-07-01,134654.5
1999-10-01,136554.9
2000-01-01,137410.9
2000-04-01,138934.2
2000-07-01,140069.6
2000-10-01,141869.1
2001-01-01,142055.7
2001-04-01,142771.9
2001-07-01,143008.1
2001-10-01,143465.7
2002-01-01,142595.5
2002-04-01,143102.9
2002-07-01,143322.4
2002-10-01,143525.2
2003-01-01,143554.9
2003-04-01,143053.6
2003-07-01,143191.9
2003-10-01,143950.4
2004-01-01,145268.6
2004-04-01,145939.8
2004-07-01,146175.0
2004-10-01,146516.9
2005-01-01,146953.5
2005-04-01,148025.8
2005-07-01,149993.0
2005-10-01,150931.2
2006-01-01,151890.3
2006-04-01,154138.8
2006-07-01,155060.7
2006-10-01,156331.0
2007-01-01,158134.5
2007-04-01,158939.0
2007-07-01,160715.5
2007-10-01,162901.5
2008-01-01,163434.5
2008-04-01,164249.0
2008-07-01,164030.7
2008-10-01,162923.5
2009-01-01,157103.0
2009-04-01,157091.9
2009-07-01,157725.4
2009-10-01,158674.2
2010-01-01,158375.1
2010-04-01,159063.1
2010-07-01,159765.1
2010-10-01,161600.0
2011-01-01,162528.2
2011-04-01,162377.9
2011-07-01,162362.8
2011-10-01,161374.7
2012-01-01,161074.7
2012-04-01,161145.3
2012-07-01,160430.2
2012-10-01,159306.1
2013-01-01,159817.4
2013-04-01,159549.6
2013-07-01,160519.9
2013-10-01,161530.1
2014-01-01,161347.2
2014-04-01,162308.4
2014-07-01,162728.7
2014-10-01,164208.0
2015-01-01,165125.2
2015-04-01,165632.6
2015-07-01,166244.9
2015-10-01,166331.4
2016-01-01,167925.5
2016-04-01,168328.9
2016-07-01,169987.9
2016-10-01,171281.7
2017-01-01,172221.4
2017-04-01,173921.1
2017-07-01,174931.0
2017-10-01,176503.3
2018-01-01,177492.2
