DATE,CLVMNACSCAB1GQSE
1993-01-01,548160.6
1993-04-01,551521.0
1993-07-01,558567.5
1993-10-01,554949.3
1994-01-01,565250.7
1994-04-01,571760.5
1994-07-01,577303.4
1994-10-01,585652.6
1995-01-01,593958.7
1995-04-01,597109.9
1995-07-01,599240.1
1995-10-01,607229.7
1996-01-01,609448.9
1996-04-01,604903.2
1996-07-01,607794.8
1996-10-01,612368.0
1997-01-01,616028.4
1997-04-01,623751.0
1997-07-01,629982.0
1997-10-01,640613.6
1998-01-01,642155.8
1998-04-01,652571.9
1998-07-01,655999.2
1998-10-01,663318.2
1999-01-01,673252.6
1999-04-01,675464.5
1999-07-01,682277.0
1999-10-01,694757.2
2000-01-01,699753.4
2000-04-01,714983.9
2000-07-01,721113.9
2000-10-01,723019.4
2001-01-01,721288.3
2001-04-01,724479.9
2001-07-01,728876.9
2001-10-01,733245.6
2002-01-01,732984.1
2002-04-01,743078.2
2002-07-01,744499.2
2002-10-01,747906.4
2003-01-01,756834.5
2003-04-01,753738.3
2003-07-01,763989.2
2003-10-01,768733.1
2004-01-01,780503.2
2004-04-01,786186.5
2004-07-01,792972.4
2004-10-01,799472.1
2005-01-01,800484.0
2005-04-01,808896.5
2005-07-01,816586.1
2005-10-01,822016.2
2006-01-01,838035.7
2006-04-01,847724.3
2006-07-01,858845.8
2006-10-01,863797.9
2007-01-01,871185.7
2007-04-01,877568.0
2007-07-01,884263.1
2007-10-01,895752.5
2008-01-01,883737.4
2008-04-01,885444.7
2008-07-01,883565.9
2008-10-01,850626.0
2009-01-01,829226.9
2009-04-01,829657.1
2009-07-01,830247.9
2009-10-01,834983.5
2010-01-01,854787.3
2010-04-01,873419.5
2010-07-01,884566.8
2010-10-01,900706.5
2011-01-01,899811.1
2011-04-01,902511.0
2011-07-01,911221.6
2011-10-01,895942.4
2012-01-01,899688.1
2012-04-01,905704.4
2012-07-01,904919.1
2012-10-01,900606.5
2013-01-01,911222.5
2013-04-01,908017.2
2013-07-01,914182.0
2013-10-01,921587.2
2014-01-01,928114.5
2014-04-01,935338.0
2014-07-01,938969.1
2014-10-01,951627.3
2015-01-01,961353.5
2015-04-01,970529.2
2015-07-01,984942.4
2015-10-01,997598.7
2016-01-01,1000490.4
2016-04-01,1005570.0
2016-07-01,1010537.7
2016-10-01,1015216.4
2017-01-01,1019487.7
2017-04-01,1031277.2
2017-07-01,1039657.5
2017-10-01,1048615.9
